epoch,vanilla_rnn_loss,blstm_loss,rnn_attention_loss
1,18.821839,22.893783,18.205904
2,17.410173,16.23909,16.580762
3,16.854093,13.713692,15.890192
4,16.493986,12.232371,15.452783
5,16.233223,11.269227,15.132429
6,16.032592,10.598503,14.894827
7,15.864279,10.117956,14.690853
8,15.720862,9.753241,14.516537
9,15.601441,9.478377,14.381632
10,15.506183,9.258643,14.246984
11,15.401552,9.076497,14.136824
12,15.322292,8.933248,14.027695
13,15.24775,8.808671,13.936768
14,15.180639,8.703376,13.853456
15,15.11295,8.612177,13.763841
16,15.052505,8.531677,13.687645
17,14.995495,8.461657,13.617055
18,14.945569,8.401115,13.554389
19,14.892272,8.344027,13.484727
20,14.848868,8.294573,13.428729
21,14.803805,8.247017,13.367126
22,14.758397,8.203685,13.306438
23,14.718652,8.16437,13.258577
24,14.679044,8.125634,13.206799
25,14.645363,8.094297,13.156288
26,14.613136,8.062065,13.110968
27,14.577854,8.033641,13.064368
28,14.54603,8.00413,13.01148
29,14.515561,7.978676,12.97248
30,14.485168,7.953136,12.928671
31,14.452708,7.929492,12.884006
32,14.426429,7.9058,12.850218
33,14.397786,7.884817,12.805267
34,14.372541,7.863715,12.771282
35,14.345724,7.845057,12.733348
36,14.322718,7.82468,12.698657
37,14.301866,7.808058,12.660181
38,14.275884,7.790735,12.628875
39,14.253355,7.771056,12.595452
40,14.232705,7.755819,12.562922
41,14.21087,7.740234,12.53291
42,14.188187,7.725988,12.497102
43,14.169815,7.709744,12.468447
44,14.149615,7.695303,12.438266
45,14.127516,7.681854,12.408202
46,14.109328,7.67014,12.377165
47,14.091139,7.655444,12.348721
48,14.073143,7.642606,12.32118
49,14.0533,7.631306,12.297116
50,14.036403,7.619958,12.265345
51,14.021319,7.604611,12.244056
52,14.003238,7.596325,12.2083
53,13.985301,7.583747,12.188517
54,13.969747,7.573281,12.163806
55,13.953292,7.563004,12.139319
56,13.939634,7.553397,12.112427
57,13.922556,7.541815,12.087753
58,13.908702,7.532273,12.067027
59,13.895577,7.521386,12.041613
60,13.881092,7.512058,12.020024
61,13.865736,7.503396,11.993708
62,13.853163,7.494764,11.971284
63,13.83907,7.484894,11.949789
64,13.822859,7.474281,11.927164
65,13.810255,7.467992,11.906045
66,13.798256,7.459704,11.887357
67,13.784308,7.450591,11.861849
68,13.773004,7.443248,11.842084
69,13.76058,7.434453,11.823129
70,13.746633,7.427073,11.803698
71,13.735652,7.419206,11.780762
72,13.720108,7.411629,11.759841
73,13.711481,7.403716,11.743624
74,13.700298,7.396429,11.721326
75,13.690987,7.388617,11.705295
76,13.677768,7.380445,11.685203
77,13.667067,7.374836,11.665068
78,13.652638,7.367858,11.645509
79,13.643546,7.360983,11.630227
80,13.633795,7.35437,11.6103
81,13.624886,7.346958,11.590156
82,13.611596,7.341415,11.57696
83,13.600785,7.334138,11.552448
84,13.594142,7.327996,11.536938
85,13.580309,7.322395,11.519879
86,13.570239,7.314442,11.507194
87,13.564449,7.308859,11.486453
88,13.548631,7.302403,11.469669
89,13.540892,7.296729,11.451522
90,13.532719,7.29133,11.439171
91,13.522706,7.284659,11.421334
92,13.514536,7.278316,11.40303
93,13.506349,7.274969,11.387641
94,13.494412,7.267435,11.374278
95,13.486324,7.263457,11.356476
96,13.477243,7.255394,11.341056
97,13.468968,7.252103,11.324668
98,13.461718,7.245342,11.31021
99,13.452228,7.240734,11.29771
100,13.441489,7.234609,11.280607
101,13.433411,7.230002,11.265611
102,13.423357,7.223115,11.252003
103,13.418229,7.218785,11.235144
104,13.407991,7.214769,11.225659
105,13.400388,7.209423,11.209165
106,13.391945,7.204367,11.194105
107,13.382567,7.199789,11.181449
108,13.376664,7.193736,11.166975
109,13.365627,7.189504,11.154502
110,13.35854,7.185389,11.139777
111,13.350864,7.179196,11.125934
112,13.343554,7.175688,11.112733
113,13.3366,7.171116,11.098492
114,13.326318,7.166336,11.085582
115,13.322708,7.161442,11.073439
116,13.31396,7.1568,11.06121
117,13.30689,7.152566,11.044577
118,13.298797,7.148782,11.032158
119,13.289842,7.142421,11.023363
120,13.282978,7.138892,11.010189
121,13.276525,7.134641,10.995325
122,13.268224,7.129123,10.984555
123,13.262759,7.126405,10.967842
124,13.252719,7.121664,10.962281
125,13.248288,7.116556,10.944813
126,13.240038,7.113231,10.93323
127,13.232883,7.109253,10.924461
128,13.227405,7.102814,10.910616
129,13.221022,7.099196,10.895991
130,13.214275,7.096545,10.889919
131,13.207024,7.091513,10.874549
132,13.199085,7.08685,10.864193
133,13.193481,7.083955,10.853429
134,13.186812,7.079193,10.839881
135,13.179265,7.075485,10.830064
136,13.172323,7.071839,10.821819
137,13.163409,7.067787,10.810992
138,13.161704,7.063253,10.79718
139,13.152202,7.061153,10.788498
140,13.147368,7.056184,10.777428
141,13.142166,7.052265,10.765182
142,13.135095,7.048232,10.755319
143,13.128482,7.044854,10.743093
144,13.122274,7.041186,10.732769
145,13.112084,7.037973,10.719792
146,13.110018,7.033172,10.712985
147,13.105491,7.028825,10.700706
148,13.095375,7.02553,10.693289
149,13.092983,7.021534,10.678932
150,13.084068,7.019193,10.671943
